source_model,target_model,attack_name,total_images,total_successful_attacks,transfer_success,transfer_rate,attack_success_rate,timestamp
vgg16,efficientnet_b0,VNIFGSM,500,500,127,0.254,1.0,2025-09-24 07:00:09
vgg16,resnet18,Pixle,500,500,81,0.162,1.0,2025-09-24 07:00:09
vgg16,densenet121,Pixle,500,500,45,0.09,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,Pixle,500,500,14,0.028,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,Pixle,500,500,11,0.022,1.0,2025-09-24 07:00:09
vgg16,resnet18,Square,500,500,28,0.056,1.0,2025-09-24 07:00:09
vgg16,densenet121,Square,500,500,6,0.012,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,Square,500,500,18,0.036,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,Square,500,500,11,0.022,1.0,2025-09-24 07:00:09
densenet121,resnet18,APGD,500,500,96,0.192,1.0,2025-09-24 07:00:09
densenet121,vgg16,APGD,500,500,71,0.142,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,APGD,500,500,59,0.118,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,APGD,500,500,45,0.09,1.0,2025-09-24 07:00:09
densenet121,resnet18,APGDT,500,500,62,0.124,1.0,2025-09-24 07:00:09
densenet121,vgg16,APGDT,500,500,63,0.126,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,APGDT,500,500,39,0.078,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,APGDT,500,500,27,0.054,1.0,2025-09-24 07:00:09
densenet121,resnet18,BIM,500,500,115,0.23,1.0,2025-09-24 07:00:09
densenet121,vgg16,BIM,500,500,71,0.142,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,BIM,500,500,68,0.136,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,BIM,500,500,42,0.084,1.0,2025-09-24 07:00:09
densenet121,resnet18,CW,500,500,15,0.03,1.0,2025-09-24 07:00:09
densenet121,vgg16,CW,500,500,32,0.064,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,CW,500,500,12,0.024,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,CW,500,500,7,0.014,1.0,2025-09-24 07:00:09
densenet121,resnet18,DeepFool,500,500,12,0.024,1.0,2025-09-24 07:00:09
densenet121,vgg16,DeepFool,500,500,20,0.04,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,DeepFool,500,500,5,0.01,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,DeepFool,500,500,5,0.01,1.0,2025-09-24 07:00:09
densenet121,resnet18,DIFGSM,500,500,208,0.416,1.0,2025-09-24 07:00:09
densenet121,vgg16,DIFGSM,500,500,116,0.232,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,DIFGSM,500,500,114,0.228,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,DIFGSM,500,500,115,0.23,1.0,2025-09-24 07:00:09
densenet121,resnet18,EADEN,500,500,9,0.018,1.0,2025-09-24 07:00:09
densenet121,vgg16,EADEN,500,500,23,0.046,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,EADEN,500,500,4,0.008,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,EADEN,500,500,9,0.018,1.0,2025-09-24 07:00:09
densenet121,resnet18,EADL1,500,500,12,0.024,1.0,2025-09-24 07:00:09
densenet121,vgg16,EADL1,500,500,18,0.036,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,EADL1,500,500,4,0.008,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,EADL1,500,500,3,0.006,1.0,2025-09-24 07:00:09
densenet121,resnet18,EOTPGD,500,500,104,0.208,1.0,2025-09-24 07:00:09
densenet121,vgg16,EOTPGD,500,500,66,0.132,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,EOTPGD,500,500,57,0.114,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,EOTPGD,500,500,42,0.084,1.0,2025-09-24 07:00:09
densenet121,resnet18,FAB,500,500,14,0.028,1.0,2025-09-24 07:00:09
densenet121,vgg16,FAB,500,500,28,0.056,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,FAB,500,500,7,0.014,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,FAB,500,500,3,0.006,1.0,2025-09-24 07:00:09
densenet121,resnet18,FFGSM,500,500,88,0.176,1.0,2025-09-24 07:00:09
densenet121,vgg16,FFGSM,500,500,90,0.18,1.0,2025-09-24 07:00:09
densenet121,mobilenet_v2,FFGSM,500,500,62,0.124,1.0,2025-09-24 07:00:09
densenet121,efficientnet_b0,FFGSM,500,500,54,0.108,1.0,2025-09-24 07:00:09
densenet121,resnet18,FGSM,500,500,99,0.198,1.0,2025-09-24 07:00:09
