source_model,target_model,attack_name,total_images,total_successful_attacks,transfer_success,transfer_rate,attack_success_rate,timestamp
densenet121_adv_preattacked_20260415,vgg16_advanced,MIFGSM,500,500,76,0.152,1.0,2026-04-18 20:22:01
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,NIFGSM,500,500,33,0.066,1.0,2026-04-18 20:27:47
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,NIFGSM,500,500,41,0.082,1.0,2026-04-18 20:27:58
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,NIFGSM,500,500,60,0.12,1.0,2026-04-18 20:28:18
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,NIFGSM,500,500,52,0.104,1.0,2026-04-18 20:28:36
densenet121_adv_preattacked_20260415,resnet18_advanced,NIFGSM,500,500,63,0.126,1.0,2026-04-18 20:28:41
densenet121_adv_preattacked_20260415,densenet121_advanced,NIFGSM,500,500,454,0.908,1.0,2026-04-18 20:28:48
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,NIFGSM,500,500,46,0.092,1.0,2026-04-18 20:28:59
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,NIFGSM,500,500,41,0.082,1.0,2026-04-18 20:29:09
densenet121_adv_preattacked_20260415,vgg16_advanced,NIFGSM,500,500,42,0.084,1.0,2026-04-18 20:29:31
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,OnePixel,23,23,3,0.13043478260869565,1.0,2026-04-18 21:06:58
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,OnePixel,23,23,4,0.17391304347826086,1.0,2026-04-18 21:06:58
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,OnePixel,23,23,9,0.391304347826087,1.0,2026-04-18 21:06:58
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,OnePixel,23,23,14,0.6086956521739131,1.0,2026-04-18 21:07:00
densenet121_adv_preattacked_20260415,resnet18_advanced,OnePixel,23,23,5,0.21739130434782608,1.0,2026-04-18 21:07:00
densenet121_adv_preattacked_20260415,densenet121_advanced,OnePixel,23,23,2,0.08695652173913043,1.0,2026-04-18 21:07:01
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,OnePixel,23,23,5,0.21739130434782608,1.0,2026-04-18 21:07:01
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,OnePixel,23,23,5,0.21739130434782608,1.0,2026-04-18 21:07:01
densenet121_adv_preattacked_20260415,vgg16_advanced,OnePixel,23,23,13,0.5652173913043478,1.0,2026-04-18 21:07:04
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,PGD,500,500,11,0.022,1.0,2026-04-18 21:13:31
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,PGD,500,500,24,0.048,1.0,2026-04-18 21:13:45
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,PGD,500,500,34,0.068,1.0,2026-04-18 21:14:08
